Sample,Time (h),Treatment,Replicate,Relative Abundance of Acinetobacter (%),Relative Abundance of Arthrobacter (%),Relative Abundance of Bacillus (%),Relative Abundance of Chryseobacterium (%),Relative Abundance of Duganella (%),Relative Abundance of Flavobacterium (%),Relative Abundance of Microbacterium (%),Relative Abundance of Pedobacter (%),Relative Abundance of Pseudomonas (%),Relative Abundance of Shewanella (%)
Root1,0,No,Rep 1,0,0.004484104,0,0,0,0,0,0,0.008968208,0
Root2,0,No,Rep 2,0,0,0.001404159,0,0,0,0,0,0,0
Root3,0,No,Rep 3,0.163132137,0,0,0,0,0,0,0,0,0
Root7,0.5,No,Rep 1,0.011635348,0.069812089,0,0.005817674,0,0,0,0,0.058176741,0
Root8,0.5,No,Rep 2,0,0.010245639,0,0,0,0,0,0,0.035859737,0
Root9,0.5,No,Rep 3,0,0,0,0,0,0,0,0,0,0
Root13,1,No,Rep 1,0,0,0,0.007628929,0,0,0,0,0,0
Root14,1,No,Rep 2,0,0.013299641,0,0,0,0,0,0,0,0
Root15,1,No,Rep 3,0,0.002808358,0.022466861,0.174118176,0,0,0,0,0.143226241,0.039317007
Root19,3,No,Rep 1,0,0,0,0.036595184,0,0,0,0,0,0.007319037
Root20,3,No,Rep 2,0,0.062408987,0,0,0,0,0,0,0,0
Root21,3,No,Rep 3,0,0.02640264,0,0,0,0,0,0,0.03960396,0
Root25,6,No,Rep 1,0.074198461,0,0,0,0,0,0,0,0.001952591,0
Root26,6,No,Rep 2,0,0,0,0,0.016972166,0,0,0,0.050916497,0
Root27,6,No,Rep 3,0,0,0,0,0,0,0,0,0,0
Root31,12,No,Rep 1,0,0.036814835,0,0,0,0,0,0,0,0
Root32,12,No,Rep 2,0,0,0,0,0.426577042,0,0,0,0,0
Root33,12,No,Rep 3,0.001748405,0.031471282,0,0.001748405,0,0.001748405,0,0,0.054200542,0
Root37,24,No,Rep 1,0,0,0,0,0,0.016700067,0,0.200400802,0,0
Root38,24,No,Rep 2,0,0.026867998,0,0,0,0,0,0,0,0
Root39,24,No,Rep 3,0,0.001112954,0.001112954,0,0,0,0,0,0,0
Root43,48,No,Rep 1,0,0,0,0.012577034,0,0,0,0,0,0
Root44,48,No,Rep 2,0,0,0,0,0,0,0,0,0,0
Root45,48,No,Rep 3,0,0.018438278,0,0,0.009219139,0,0,0,0,0
Root49,96,No,Rep 1,0,0.149625002,0,0,0,0.106607814,0,0,0,0
Root50,96,No,Rep 2,0,0.003123146,0,0,0,0.658983728,0,0.062462913,0,0
Root51,96,No,Rep 3,0,0.894415358,0,0,0.567190227,0.021815009,0,0,0,0
Root55,168,No,Rep 1,0,0.040736161,0,0,0,0.117843893,0,0,0,0
Root56,168,No,Rep 2,0,0.047788799,0,0,0,0.006457946,0,0,0,0
Root57,168,No,Rep 3,0,0.116605551,0,0.003068567,0,0.018411403,0,0.001534284,0,0
Root61,336,No,Rep 1,0,0.344382264,0,0.005380973,0,0.215238915,0,0,0.016142919,0
Root62,336,No,Rep 2,0,0.02018469,0,0,0.136246657,0.055507897,0,0,0,0
Root63,336,No,Rep 3,0,0.012020194,0,0,0.088148089,0.296498117,0,0,0,0
Root67,480,No,Rep 1,0.01717033,0,0,0,0,1.923076923,0,0,0,0
Root68,480,No,Rep 2,0.013979497,0.657036347,0.004659832,0,0,0.815470643,0,0,0.004659832,0
Root69,480,No,Rep 3,0.006004203,0.045031522,0,0,0.87661363,2.467727409,0,0,0,0
Root4,0.5,Yes,Rep 1,0.032150206,0.006430041,0,0.430812757,0.045010288,0.025720165,0,0.077160494,0.05787037,0.045010288
Root5,0.5,Yes,Rep 2,0,0.320593942,0.004218341,0.067493462,0.025310048,0.016873365,0,0.042183413,0.295283894,0.021091707
Root6,0.5,Yes,Rep 3,0.101655533,0.029044438,0.116177752,1.336044148,0.072611095,0.043566657,0.014522219,0.421144351,0.203311066,0.406622132
Root10,1,Yes,Rep 1,0.010377212,0,0,0.16084678,0,0.015565817,0,0.036320241,0.005188606,0.025943029
Root11,1,Yes,Rep 2,0,0.02173535,0.00434707,0.086941401,0.57381325,0.00434707,0,0.02608242,0,0.030429491
Root12,1,Yes,Rep 3,0.115207373,0.076804916,0,1.728110599,0,0.115207373,0,0.038402458,0.153609831,0.153609831
Root16,3,Yes,Rep 1,0.09385417,0.021036279,0.017799929,0.496779831,0.004854526,0.035599858,0,0.076054241,0.053399786,0.150490307
Root17,3,Yes,Rep 2,0.116659645,0,0.055089277,1.286496646,0.009721637,0.035646003,0.003240546,0.13610292,0.035646003,0.077773097
Root18,3,Yes,Rep 3,0.034243969,0.038048855,0,0.312000609,0.205463816,0.030439084,0.003804885,0.038048855,0.007609771,0.034243969
Root22,6,Yes,Rep 1,0.035311868,0.017655934,0.049757632,0.26804918,0.004815255,0.016050849,0,0.024076274,0.025681359,0.097910179
Root23,6,Yes,Rep 2,0.343298243,0.018851638,0.078383125,1.21543453,0.030757935,0.070445593,0.001984383,0.136922421,0.037703275,0.212328971
Root24,6,Yes,Rep 3,0.059775841,0.0124533,0.0373599,0.430884184,0.00871731,0.00124533,0,0.103362391,0.02988792,0.056039851
Root28,12,Yes,Rep 1,1.424870466,0,0.712435233,2.202072539,0.129533679,0.129533679,0.194300518,0.518134715,0.259067358,0.647668394
Root29,12,Yes,Rep 2,1.439599416,0.062591279,0.292092635,2.044648446,0.083455039,0.187773837,0,0.187773837,0.229501356,0.479866472
Root30,12,Yes,Rep 3,1.30004535,0.056978732,0.270939684,2.338453667,0.17558752,0.375594497,0.019768131,0.273265346,0.305824622,1.134923311
Root34,24,Yes,Rep 1,1.013594494,0.140396535,0.626647947,1.972400096,0.085607643,0.130123617,0.006848611,0.188336815,0.171215286,0.178063898
Root35,24,Yes,Rep 2,0.131331261,0.043777087,0.021888544,0.358972114,0.052532504,0.008755417,0.004377709,0.030643961,0.109442718,0.140086679
Root36,24,Yes,Rep 3,0.110797744,0.055398872,0.080580177,0.266921837,0.130942788,0.010072522,0,0.015108783,0.005036261,0.025181305
Root40,48,Yes,Rep 1,0.718706598,0,0.210353151,0.369466431,0.001348418,0.101131322,0,0,0.071466134,0.198217392
Root41,48,Yes,Rep 2,0.225177101,0.003287257,0.055883368,0.415838004,0.011505399,0.11834125,0,0.095330452,0.047665226,0.037803455
Root42,48,Yes,Rep 3,0.568386323,0.103479304,0.292441512,1.111277744,0.0044991,0.115476905,0.0029994,0.061487702,0.043491302,0.053989202
Root46,96,Yes,Rep 1,0.405850004,0.007204438,0.609975745,0.953387287,0.016810355,0.605172786,0,0.096059172,0.17530799,0.112869528
Root47,96,Yes,Rep 2,0.387481371,0.026367076,0.190301502,0.818525737,0.002292789,0.018342313,0,0.06993007,0.048148573,0.06993007
Root48,96,Yes,Rep 3,0.672471565,0.003478301,0.31072824,1.020301685,0.002318867,0.606383842,0,0.148407518,0.976243203,0.141450915
Root52,168,Yes,Rep 1,0.529141104,0.812883436,0.130368098,1.924846626,0,1.188650307,0,0.214723926,0.145705521,0.061349693
Root53,168,Yes,Rep 2,0.491400491,0.076781327,0.399262899,3.639434889,0.015356265,4.176904177,0.030712531,0.460687961,0.122850123,0.015356265
Root54,168,Yes,Rep 3,0.630179888,0.462131918,0.16804797,2.188442883,0.003819272,2.371767941,0,0.309361036,0.240614139,0.042011993
Root58,336,Yes,Rep 1,0.35518101,0.00661828,0.030885305,2.139910433,0.002206093,1.952392508,0,0.344150544,0.097068102,0.044121865
Root59,336,Yes,Rep 2,0.696702276,0.015482273,0.036125303,2.539092739,0,1.517262734,0.015482273,0.335449244,0.428342881,0.092893637
Root60,336,Yes,Rep 3,0.656731498,0.056832533,0.094720889,2.153321546,0,0.277847941,0.025258904,0.113665067,0.119979793,0.132609245
Root64,480,Yes,Rep 1,0.579246547,0.155618475,0.034581883,24.27864353,0,2.016556077,0.021613677,0.514405516,0.481985,0.034581883
Root65,480,Yes,Rep 2,0.208408592,0.350126435,0.097257343,5.176869425,0.005557562,1.772862423,0.005557562,0.597437964,5.199099675,0.077805874
Root66,480,Yes,Rep 3,0.238095238,0.093537415,0.068027211,1.530612245,0.008503401,0.629251701,0.05952381,0.297619048,0.229591837,0.042517007